Title,Title_link,Thumbnail,reviewCountContainer_2EO6o,Price,price_FHDfG,availabilityMessageSearch_23ZLw,salePrice_kTFZ3,productSaving_3YmNX,availabilityMessageSearchPickup_2eGze
Lenovo Thinkpad T440s -Core i5 4300U-1.9GHz-4B RAM-500GB HDD- Win 10 Pro-14''-Refurbished(Grade A),https://www.bestbuy.ca/en-ca/product/lenovo-thinkpad-t440s-core-i5-4300u-1-9ghz-4b-ram-500gb-hdd-win-10-pro-14-refurbished-grade-a/14402163,,(0 Reviews),$349,$349.00,Available online only,$349.00,SAVE $251,
"HP Spectre X360 13.3"" Convertible Laptop (Intel Core i7-8565U / 512 GB / 8GB DDR4 / PCIe NVMe)",https://www.bestbuy.ca/en-ca/product/hp-spectre-x360-13-3-convertible-laptop-intel-core-i7-8565u-512-gb-8gb-ddr4-pcie-nvme/13399121,,(0 Reviews),"$3,011.99","$3,011.99",Available online only,,,
"Dell Latitude E5450 13"" Laptop (Intel Core i5-5300U 2.30GHz / 4GB RAM / 128GB SSD) - Refurbished",https://www.bestbuy.ca/en-ca/product/dell-latitude-e5450-13-laptop-intel-core-i5-5300u-2-30ghz-4gb-ram-128gb-ssd-refurbished/13368382,,(0 Reviews),$369,$369.00,Available online only,,,
"Microsoft Surface Pro 4 Touch i7 6650U 12.3"" 8 GB RAM 256GB SSD Windows 10 Pro Refurbished",https://www.bestbuy.ca/en-ca/product/microsoft-surface-pro-4-touch-i7-6650u-12-3-8-gb-ram-256gb-ssd-windows-10-pro-refurbished/14516230,,(0 Reviews),"$1,027.97","$1,027.97",Available online only,"$1,027.97",SAVE $472,
"ASUS ZenBook 13.3"" Touchscreen Laptop (Intel Core i7-8565U/512GB SSD/16GB RAM) - Eng - Open Box",https://www.bestbuy.ca/en-ca/product/asus-zenbook-13-3-touchscreen-laptop-intel-core-i7-8565u-512gb-ssd-16gb-ram-eng-open-box/14321021,,(0 Reviews),"$1,899.99","$1,899.99",Available online only,,,
"Dell Latitude E4310 13.3"" TFT Laptop, Intel Core i5 520M 2.40 GHz, 4G DDR3 RAM, 250GB HDD, DVD, Win10 Home(EN/FR)-Refurbished",https://www.bestbuy.ca/en-ca/product/dell-latitude-e4310-13-3-tft-laptop-intel-core-i5-520m-2-40-ghz-4g-ddr3-ram-250gb-hdd-dvd-win10-home-en-fr-refurbished/12662411,,(0 Reviews),$319.98,$319.98,Available online only,$319.98,SAVE $160,
"Dell XPS 13.3"" Laptop - Platinum Silver (Intel Core i7-8565U/256GB SSD/8GB RAM/Windows 10) - Open Box",https://www.bestbuy.ca/en-ca/product/dell-xps-13-3-laptop-platinum-silver-intel-core-i7-8565u-256gb-ssd-8gb-ram-windows-10-open-box/13626075,,(0 Reviews),"$1,899.99","$1,899.99",Available online only,,,
"Dell Latitude E7270 12.5"" (FHD) Touch Laptop (Intel Core i5-6300U 2.4GHz, 16GB DDR4 RAM, 240GB SSD (EN/FR) - Refurbished",https://www.bestbuy.ca/en-ca/product/dell-latitude-e7270-12-5-fhd-touch-laptop-intel-core-i5-6300u-2-4ghz-16gb-ddr4-ram-240gb-ssd-en-fr-refurbished/13287899,,(0 Reviews),$782.98,$782.98,Available online only,$782.98,SAVE $391,
"Dell Latitude 3330 13.3"" Laptop, Intel Core i3 2375M 1.5GHz, 4G DDR3L, 500G, WiFi, Win10 Home 64 Bit (EN/FR/ES)-Refurbished",https://www.bestbuy.ca/en-ca/product/dell-latitude-3330-13-3-laptop-intel-core-i3-2375m-1-5ghz-4g-ddr3l-500g-wifi-win10-home-64-bit-en-fr-es-refurbished/14428687,,(0 Reviews),$357.98,$357.98,Available online only,$357.98,SAVE $179,
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Cobalt Blue (Intel Core i7-1065G7/512GB SSD/16GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-cobalt-blue-intel-core-i7-1065g7-512gb-ssd-16gb-ram-english/13949373,,(3 Reviews),"$2,689.99","$2,689.99",Available online,,,Sold out in nearby stores
"Dell Latitude E7250 Laptop Core i5 5300u 2.3GHz 8GB RAM 256GB SSD Win 10 Pro 12.5"" HD LCD Webcam Battery Refurbished",https://www.bestbuy.ca/en-ca/product/dell-latitude-e7250-laptop-core-i5-5300u-2-3ghz-8gb-ram-256gb-ssd-win-10-pro-12-5-hd-lcd-webcam-battery-refurbished/12652606,,(0 Reviews),$469,$469.00,Available online only,,,
"Dell XPS 13.3"" Laptop - Platinum Silver (Intel Core i7-10710U/512GB SSD/16GB RAM/Windows 10) - Refurbished",https://www.bestbuy.ca/en-ca/product/dell-xps-13-3-laptop-platinum-silver-intel-core-i7-10710u-512gb-ssd-16gb-ram-windows-10-refurbished/14498152,,(0 Reviews),"$1,534.99","$1,534.99",Available online only,"$1,534.99",SAVE $265,
"Dell Latitude E6230 12.5"" Laptop, Intel Core i5 3320M up to 3.3G, 8G DDR3, 500G, Windows 10 Home 64 Bit (EN/FR/ES)-Refurbished",https://www.bestbuy.ca/en-ca/product/dell-latitude-e6230-12-5-laptop-intel-core-i5-3320m-up-to-3-3g-8g-ddr3-500g-windows-10-home-64-bit-en-fr-es-refurbished/14515675,,(0 Reviews),$415.98,$415.98,Available online only,$415.98,SAVE $208,
Acer 13.3” Spin 5 convertible notebook (Intel I5-8265U/8Gb/256Gb SSD/Win10) - Manufacturer ReCertified w/ 1 Year Warranty,https://www.bestbuy.ca/en-ca/product/acer-13-3-spin-5-convertible-notebook-intel-i5-8265u-8gb-256gb-ssd-win10-manufacturer-recertified-w-1-year-warranty/14335848,,(0 Reviews),$879.99,$879.99,Available online only,,,
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Sandstone (Intel Core i7-1065G7/256GB SSD/16GB RAM) - French",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-sandstone-intel-core-i7-1065g7-256gb-ssd-16gb-ram-french/13949388,,(0 Reviews),"$1,949.99","$1,949.99",Available online,"$1,949.99",SAVE $200,Sold out in nearby stores
