Title,Thumbnail,Price
Apple MacBook Pro 16” 512GB with Touch Bar - Space Grey - English,https://www.thesource.ca/medias/20191119141010-108086064-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMDU2M3xpbWFnZS9qcGVnfGltYWdlcy9oN2QvaDQ1LzkxOTQ3MjgzNTc5MTguanBnfGY5ODhlYWNiM2VmYjAxNTM0OTRmM2ZlYmU2Y2E0YmYwYzViYjhlNzBlZjU1MTcwNTlkNzgxY2ZhZTA2YzlkNmU,"$2,999.99"
Apple MacBook Pro 16” 512GB with Touch Bar - Silver - English,https://www.thesource.ca/medias/20191119141010-108086068-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMDM1M3xpbWFnZS9qcGVnfGltYWdlcy9oZjcvaDI2LzkxOTQ3Mjk5MzA3ODIuanBnfDY2ZDc1OGMwMjAwNThmYmEwNTY1ZjZmNTllMGUxMjBhYWMzNDFhMzZkNmJiNzFlM2E5NjgzMjY5ZTJkMTZmN2Q,"$2,999.99"
"ASUS VivoBook 14 X412FA-TB51-CB 14” Laptop with Intel® i5-8265U, 512GB SSD, 8GB RAM & Windows 10",https://www.thesource.ca/medias/20190722110114-108082705-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxODU2OXxpbWFnZS9qcGVnfGltYWdlcy9oMzEvaDY3LzkxNzE3OTU3MDU4ODYuanBnfGFkMmE5ZTRmN2Q5NzBiYTY0NzA1YjEzOTYyNDMzYTQ2MWY2ODM0NDAyODg3YmQxZjVkZjcyZmIwYWQ4MThlNmQ,$999.99
"Apple MacBook Pro 13.3” 128GB, 1.4GHz, Intel® i5 with Touch Bar - Space Grey - French",https://www.thesource.ca/medias/20191028122117-108085245-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w1OTgwfGltYWdlL2pwZWd8aW1hZ2VzL2gxYi9oYTYvOTE4OTY4MzM2Mzg3MC5qcGd8NmYwMTg4NmIyOTI0NDZhMDg1M2Y1MzFhMDA1NThjNTU3MzhmM2I3YzM0ZjFmZWYzNjU2OTU2YjRiZmZlNDY3ZQ,"$1,699.99"
"Apple MacBook Pro 13.3” 256GB, 1.4GHz, Intel® i5 with Touch Bar - Space Grey - French",https://www.thesource.ca/medias/20191028122117-108085247-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w1OTgwfGltYWdlL2pwZWd8aW1hZ2VzL2gwMC9oM2UvOTE4OTY4NDkzNjczNC5qcGd8MjYxZGQ4MmY2NDNmNTY0MGY0ZDcwMjU3YmUwMjA3MjdjMzc3MzEwMGY3ZWUwNzIyMWU5MjE1NzM2NjBhNGJmNw,"$1,949.99"
"Apple MacBook Pro 13.3” 256GB, 1.4GHz, Intel® i5 with Touch Bar - Space Grey - English",https://www.thesource.ca/medias/20191028122117-108085246-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w1OTgwfGltYWdlL2pwZWd8aW1hZ2VzL2g0NC9oM2UvOTE4OTY4NDE1MDMwMi5qcGd8ZmI0Yzc1NWU3MmU4MzExMDVjOWI0NjAzZGFhMWU0YWU5MTgzMzFhZDYyZDc4OTg0YTM4YTFhYzZkOTE4ZjIxYw,"$1,949.99"
"Apple MacBook Pro 13.3” 128GB, 1.4GHz, Intel® i5 with Touch Bar - Space Grey - English",https://www.thesource.ca/medias/20191028122117-108085244-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w1OTgwfGltYWdlL2pwZWd8aW1hZ2VzL2gxMi9oMDEvOTE4OTY4MjU3NzQzOC5qcGd8ZWMyMGQwNmJmYjUxMmEzYTE0NGYwOGVmYjQxZGIwMWQ0OGQyNjg4NDgwYjBiOGEyODRkNWI0MTJkNjFlYzg3Zg,"$1,699.99"
"ASUS ProArt StudioBook Pro 17 W700G3T-XH99 17” Laptop with Intel® Xeon E-2776M, 2TB SSD, 32GB RAM, NVIDIA RTX 3000 & Windows 10 Pro - Turquoise Grey",https://www.thesource.ca/medias/20200211150126-108086920-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMjg5OHxpbWFnZS9qcGVnfGltYWdlcy9oYjUvaDYxLzkyMjc1MTE1OTUwMzguanBnfGQ1ODU0NWU2N2IyZTU0OWZlZDM4NWFhMmY5YjhmYmFkNTczNzZlZTcyN2ZjNzc2NTMyMDY3MWQyOTNlMzJlYjg,"$3,999.99"
"Acer Swift 1 SF114-32-P30S 14” Laptop with Intel® N5000, 64GB eMMC, 4GB RAM & Windows 10 Home - Silver",https://www.thesource.ca/medias/20180731133527-108076421-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyMzgyNnxpbWFnZS9qcGVnfGltYWdlcy9oM2UvaDJjLzkwODcwODExODUzMTAuanBnfDkyYzFmOTYxNzM5MDY4Njk2NDBmOTAwN2ZmYzUwOTJmZjUyY2M4YTUyMWIxNTAxMmU2YThlM2NlZTRkNzk5YTE,$499.99
"Acer Aspire A515-51-85UY 15.6"" Laptop with Intel® i7-8550U, 1TB HDD, 128GB SDD, 8GB RAM & Windows 10 Home",https://www.thesource.ca/medias/20180612160409-108076416-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w5NjE3fGltYWdlL2pwZWd8aW1hZ2VzL2g2Zi9oZmUvOTA3NTQ0ODc0MTkxOC5qcGd8OGJiMzczOTg3YjQxNGY2NjUwMGQxMWExMDUyZDhlYzVmZmUxN2MxM2NiMTgyNzU0MzExY2FiMjZhOGJhMWY5Yg,$999.99
"Acer Swift 3 SF314-54-59LJ 14” Laptop with Intel® i5-8250U, 128GB SSD, 8GB RAM & Windows 10 Home - Silver",https://www.thesource.ca/medias/20180731133527-108076423-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyNjY5M3xpbWFnZS9qcGVnfGltYWdlcy9oODgvaDVhLzkwODcwODIyMzM4ODYuanBnfGE0OGIxYjZmNTA3MDUyNzc3NWQ2Mzc5YjAzMTg3MzEzMTQyOTFmYzRiNTI5N2ZlZDA4YmY0OTAxMzY3YjJmMzk,$799.99
"Acer Swift SF514-52T-50ZL 14"" Touchscreen Laptop with Intel® i5-8250U, 256GB SDD, 8GB RAM & Windows 10 Home - Blue",https://www.thesource.ca/medias/20180614095407-108076424-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w5MzIzfGltYWdlL2pwZWd8aW1hZ2VzL2gwYy9oMTMvOTA3NTgzNjQyMDEyNi5qcGd8YTI3MWZlYmVmMWVjNzU0ZjgxYmJlZTA0ZDcwM2YzYTdmMmQ2YWY0YzY3YTc0ZmY2MmI2OGEzYTk3NTZkZWFlNg,"$1,199.99"
